iter	Logloss
0	0.6858238305
1	0.6784466852
2	0.6717019062
3	0.6646919557
4	0.6578836714
5	0.6520395823
6	0.6459234131
7	0.641424276
8	0.6353894766
9	0.6287840228
10	0.6240315145
11	0.6189236313
12	0.6135141474
13	0.6075636736
14	0.6016299644
15	0.5967502216
16	0.5904551407
17	0.5848383341
18	0.5796773668
19	0.5750974628
20	0.5711401705
21	0.5667757471
22	0.5623709814
23	0.5589242073
24	0.554876411
25	0.5503407843
26	0.5465623411
27	0.5426318596
28	0.5387119496
29	0.5345102827
30	0.5298387199
31	0.5258386964
32	0.5221120542
33	0.5186742029
34	0.5151890226
35	0.5120704493
36	0.5079610017
37	0.5042185414
38	0.5000785763
39	0.4972368927
40	0.4942870354
41	0.4908936991
42	0.4874950107
43	0.4839394993
44	0.4809647379
45	0.4784862008
46	0.4752975781
47	0.4724433372
48	0.4692000433
49	0.4666022839
50	0.4636980823
51	0.460904254
52	0.4584701258
53	0.45622937
54	0.4540155445
55	0.4519380101
56	0.4500437339
57	0.4477807988
58	0.4452324382
59	0.4432070361
60	0.4420504817
61	0.4396993303
62	0.4378998541
63	0.4362120918
64	0.4344262336
65	0.4322755255
66	0.4308469516
67	0.429088756
68	0.4278646091
69	0.4264195807
70	0.4245153065
71	0.4231216361
72	0.4212774338
73	0.4196776961
74	0.41798567
75	0.4165935118
76	0.4151169212
77	0.4140156145
78	0.4124537958
79	0.4111511952
80	0.4095349787
81	0.4079634242
82	0.4065736906
83	0.4051478646
84	0.4038876163
85	0.4024035408
86	0.4014852976
87	0.3996763393
88	0.3984304317
89	0.3972238757
90	0.3957081044
91	0.3946249986
92	0.3933215099
93	0.3921149618
94	0.3914039498
95	0.390109195
96	0.3887651739
97	0.3874799555
98	0.3863669727
99	0.3850080178
100	0.3838371116
101	0.3825395365
102	0.3814198859
103	0.3803684649
104	0.3791540168
105	0.3783049396
106	0.3772443788
107	0.3764763845
108	0.3755133767
109	0.3745681138
110	0.3737820222
111	0.372982169
112	0.371995041
113	0.3707363434
114	0.3700379679
115	0.369294618
116	0.3680994538
117	0.36636314
118	0.3654481864
119	0.3648343583
120	0.3640084793
121	0.3632980846
122	0.3625519069
123	0.3616966417
124	0.3611679925
125	0.3606883578
126	0.3598333127
127	0.3588375863
128	0.3577460888
129	0.356981335
130	0.3558396399
131	0.3551566472
132	0.3542400311
133	0.3536572351
134	0.352873538
135	0.352258429
136	0.3516874003
137	0.3506343514
138	0.3501386946
139	0.349434304
140	0.3487702796
141	0.3480092138
142	0.3473536054
143	0.3470354438
144	0.3462103899
145	0.3454417855
146	0.3448959747
147	0.3442572957
148	0.3434569939
149	0.3429522429
150	0.3421545464
151	0.3408066604
152	0.3400466427
153	0.3397183294
154	0.3390095414
155	0.338543082
156	0.3377587123
157	0.3370970636
158	0.3366750045
159	0.3361147757
160	0.3353669646
161	0.3349982678
162	0.3342952368
163	0.3337248135
164	0.332774673
165	0.332507775
166	0.3320379591
167	0.3313359395
168	0.3307552535
169	0.3302058057
170	0.3297966024
171	0.329213011
172	0.3288134925
173	0.3281629794
174	0.3275586856
175	0.3269589718
176	0.3264863534
177	0.3261689253
178	0.3254458357
179	0.3248208852
180	0.3243948021
181	0.3239121059
182	0.3235759393
183	0.3232909324
184	0.3227325157
185	0.3223412978
186	0.3220978148
187	0.3215179629
188	0.3210373633
189	0.3205241017
190	0.3202442161
191	0.3196497602
192	0.3191748284
193	0.3189201196
194	0.3187219649
195	0.3301911809
196	0.3297525289
197	0.3293751967
198	0.3290601771
199	0.3286327293
200	0.328306807
201	0.3278168403
2202	0.31581193
203	0.3152674072
204	0.3144422773
205	0.3140048558
206	0.3137585886
207	0.3133204483
208	0.3128268908
209	0.3123822792
210	0.3121945033
211	0.3120987605
212	0.3118556763
2213	0.32298342592214	0.32249680182215	0.3224167732216	0.3102103695
217	0.3099361302
218	0.3095761855
219	0.3089950774
220	0.308561786
221	0.3081408314
222	0.3079732731
223	0.3077705641
224	0.3073984359
225	0.3069803748
226	0.3067009332
227	0.3065687746
228	0.3062711277
229	0.3059753415
230	0.3057576618
