iter	Passed	Remaining
0	6	27651	4	938
2	13	1720
3	14	1478
44	28	224955	33	2232
6	37	2100
7	41	2016
8	50	2185
9	51	2022
10	55	1956
11	59	1930
12	96	2862
13	100	2776
14	103	2657
15	110	2649
16	113	2565
17	123	2614
18	124	2505
19	126	2411
20	128	2323
21	130	2245
22	134	2198
23	135	2129
24	137	2061
25	139	1999
26	142	1972
27	144	1921
28	146	1869
29	149	1842
30	152	1811
31	153	1769
32	159	1774
33	161	1743
34	166	1734
35	168	1699
36	172	1687
37	174	1660
38	176	1630
39	179	1612
40	181	1589
41	183	1562
42	185	1538
43	188	1526
44	190	1502
45	192	1480
46	195	1470
47	197	1451
48	199	1431
49	203	1424
50	205	1402
51	206	1384
52	209	1369
53	211	1356
54	214	1343
55	216	1329
56	218	1317
57	220	1303
58	223	1289
59	229	1300
60	233	1296
61	238	1298
62	284	1523
63	288	1516
64	290	1496
65	292	1480
66	295	1468
67	298	1459
68	300	1439
69	301	1423
70	305	1417
71	309	1408
72	344	1542
73	346	1527
74	357	1549
75	359	1532
76	364	1528
77	367	1519
78	403	1637
79	413	1655
80	420	1656
81	423	1642
82	426	1630
83	428	1611
84	429	1592
85	433	1583
86	435	1566
87	437	1549
88	440	1537
89	444	1530
90	446	1514
91	449	1504
92	451	1491
93	454	1477
94	457	1467
95	458	1452
96	460	1437
97	461	1423
98	465	1416
99	468	1404
100	472	1398
101	517	1510
102	523	1509
103	525	1495
104	530	1489
105	537	1490
106	542	1484
107	549	1484
108	559	1492
109	564	1488
110	566	1475
111	568	1462
112	570	1448
113	573	1438
114	581	1442
115	588	1439
116	590	1428
117	592	1414
118	596	1407
119	603	1407
120	606	1397
121	607	1384
122	610	1374
123	618	1377
124	622	1368
125	623	1355
126	625	1343
127	628	1336
128	635	1335
129	638	1326
130	641	1317
131	645	1310
132	648	1301
133	652	1295
134	654	1285
135	656	1274
136	658	1263
137	664	1262
138	666	1251
139	674	1252
140	678	1245
141	685	1245
142	687	1236
143	691	1229
144	694	1220
145	696	1210
146	697	1201
147	699	1191
148	701	1181
149	703	1172
150	704	1162
151	706	1152
152	707	1141
153	708	1131
154	710	1122
155	711	1113
156	714	1105
157	716	1096
158	717	1087
159	719	1078
160	720	1069
161	721	1060
162	723	1051
163	724	1042
164	726	1034
165	727	1026
166	729	1017
167	731	1009
168	733	1002
169	735	994
170	738	989
171	752	997
172	756	992
173	757	984
174	759	976
175	763	971
176	766	966
177	768	958
178	771	952
179	774	946
180	776	939
181	779	933
182	780	925
183	782	918
184	783	911
185	785	903
186	786	896
187	791	892
188	793	885
189	797	881
190	799	874
191	800	867
192	802	860
193	804	854
194	806	847
19195	896	933
196	898	925
197	901	9119198	903	9119199	907	9020200	909	9020201	911	89202	832	808
203	835	802
204	837	796
205	839	790
206	843	786
207	845	780
208	848	775
209	855	774
210	859	769
211	862	765
21212	944	8221213	947	8221214	959	8221215	961	81216	885	746
217	890	743
218	894	739
219	914	747
220	916	742
221	919	737
222	923	732
223	924	726
224	926	720
225	928	714
226	929	708
227	931	702
228	933	696
229	934	690
230	1001	7322231	1003	726
232	1007	722
233	1009	715
234	1011	710
235	1014	705
236	1016	698
237	1025	697
238	239	969	6239240	974	64240	1035	683
241	1040	679
243	981	627
2243	1047	6624244	1049	6246245	1051	247	246	1063	659
247	1066	653
248	1067	647
249	1070	642
250	1072	636
251	1074	630
252	1075	624
253	1077	619
254	1079	613
255	1080	608
256	1082	602
257	1083	596
258	1086	591
259	1088	585
260	1089	580
261	1091	574
262	1093	569
263	1095	564
264	1096	558
265	1098	553
266	1101	548
267	1103	543
268	1105	538
269	1108	533
270	1110	528
271	1112	523
272	1157	538
273	1161	534
274	1170	531
275	1173	527
276	1175	522
277	1178	517
278	1182	512
279	1184	507
280	1186	502
281	1190	497
282	1192	492
283	1193	487
284	1205	486
285	1208	481
286	1210	476
287	1211	471
288	1213	466
289	1214	460
290	1216	455
291	1217	450
292	1218	445
293	1220	439
294	1221	434
295	1226	430
296	1227	425
297	1229	420
298	1231	415
299	1234	411
300	1235	406
301	1237	401
302	1238	396
303	1241	392
304	1243	387
305	1244	382
306	1246	377
307	1248	372
308	1250	368
309	1251	363
310	1253	358
311	1256	354
312	1257	349
313	1259	344
314	1260	340
315	1263	335
316	1265	331
317	1266	326
318	1268	322
319	1270	317
320	1272	313
321	1273	308
322	1275	304
323	1277	299
324	1279	295
325	1281	290
326	1282	286
327	1283	281
328	1286	277
329	1287	273
330	1289	268
331	1290	264
332	1292	260
333	1294	255
334	1295	251
335	1297	247
336	1298	242
337	1300	238
338	1301	234
339	1303	229
340	1304	225
341	1306	221
342	1307	217
343	1309	213
344	1310	208
345	1311	204
346	1312	200
347	1314	196
348	1315	192
349	1316	188
350	1318	184
351	1320	180
352	1323	176
353	1324	172
354	1327	168
355	1330	164
356	1331	160
357	1340	157
358	1345	153
359	1348	149
360	1350	145
361	1352	141
362	1355	138
363	1356	134
364	1358	130
365	1359	126
366	1360	122
367	1362	118
368	1364	114
369	1365	110
370	1367	106
371	1368	103
372	1370	99
373	1375	95
374	1376	91
375	1380	88
376	1382	84
377	1383	80
378	1386	76
379	1398	73
380	1400	69
381	1402	6384	1284	50
385	1286	46
386	1288	43
387	1291	39
388	1292	36
389	1299	33
390	1301	29
391	1303	26
392	1307	23
393	1308	19
394	1310	16
399	1474	0

396	1315	9
397	1316	6
398	1318	3
399	1320	0
31	7
398	1432	3
39399	1409	0
